LIFE_LADDER,LOG_GDP,SOC_SUPPORT,LIFEEXPECT_BIRTH,FREEDOM,GENEROSITY,PERC_CORRUPT,POS_AFFECT,NEG_AFFECT,CONFIDENCE_NATGOVT,DEM_QUALITY,DEL_QUALITY,GINI_INDEX,GINI_HHINC
3.130895615,7.516955376,0.525568426,52.88000107,0.508514047,0.113184482,0.871241987,0.531691492,0.374860734,0.409047514,-1.773256779,-1.312502503,,0.413973927
3.982854605,7.500538826,0.528597236,53.20000076,0.388927579,0.089090675,0.880638301,0.553553164,0.339276046,0.260557145,-1.84436357,-1.29159379,,0.59691757
4.220168591,7.497038364,0.559071779,53,0.522566199,0.051364917,0.793245554,0.564952672,0.348332286,0.324989557,-1.855426311,-1.392712831,,0.418629497
2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,-1.886565924,-1.43780756,,0.286598861
2.694303274,7.494587898,0.507515848,52.59999847,0.373535544,-0.084887877,0.927605689,0.424125314,0.404904395,0.364666402,,,,0.290681332
4.813763142,9.278103828,0.625586927,67.51999664,0.734648407,-0.028161518,0.882704437,0.684910536,0.334542662,0.49878639,0.314873487,-0.187407121,0.30325,0.417218775
4.606650829,9.302960396,0.639356136,67.80000305,0.703850687,-0.084411353,0.884793043,0.688370049,0.350426674,0.506978393,0.251629293,-0.152543828,0.30325,0.422626853
4.511100769,9.337532043,0.638411462,68.09999847,0.72981894,-0.020687405,0.901070774,0.675243735,0.321705997,0.400909811,0.257291853,-0.134950414,0.30325,0.416540354
4.639548302,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,0.669240892,0.33388412,0.457737535,0.299944997,-0.130315468,0.30325,0.41048798
5.004402637,9.412399292,0.683591664,68.69999695,0.824212313,0.005384951,0.899129391,0.713299572,0.318996727,0.435337961,,,0.30325,0.456174195
6.354898453,9.509209633,0.818189442,65.13999939,,,,0.62590462,0.176866099,,-1.002866626,-0.783428013,0.276,0.47549203
5.340853691,9.541166306,0.748588264,65.5,,,,0.66051048,0.377111971,,-0.976651907,-0.815911233,0.276,0.604616702
5.248912334,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,0.641979635,0.288710028,,-0.927691162,-0.816839099,0.276,0.527555764
5.043086052,9.557951927,0.798651338,65.90000153,0.58338058,-0.172413006,0.758704126,0.591042936,0.292945564,,,,0.276,0.667871892
3.794837952,8.741480827,0.754615486,54.59999847,0.374541551,-0.157062218,0.83407563,0.578517139,0.367864132,0.572345674,-0.739363015,-1.16853869,0.4735,0.440698594
6.671114445,9.841482162,0.917870402,68.01999664,0.745057762,-0.16044876,0.854191601,0.857123733,0.237912863,0.408961415,0.170099333,-0.665261686,0.4609375,0.310103148
6.69713068,9.858328819,0.926492274,68.19999695,0.881223679,-0.170244098,0.850906193,0.858544469,0.305354923,0.378169239,0.213269234,-0.576050639,0.4609375,0.346246392
6.427221298,9.830087662,0.882819116,68.40000153,0.847702205,-0.188303813,0.850924492,0.841906726,0.311646461,0.419561833,0.348582,-0.243653059,0.4609375,0.332070827
6.039330006,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,0.809422612,0.291717261,0.305430293,0.351303786,-0.158055663,0.4609375,0.394175798
5.792796612,9.809971809,0.899911582,68.80000305,0.845894694,-0.206936628,0.855255246,0.820309699,0.320502073,0.261352271,,,0.4609375,0.40535593
4.453083038,8.983579636,0.738763511,65.83999634,0.506487131,-0.205098018,0.920390487,0.580959857,0.403984338,0.214914635,-0.429609358,-0.218632609,0.31925,0.388721585
4.34831953,9.011393547,0.722551048,66,0.551026642,-0.189388379,0.901462197,0.594142795,0.43794772,0.170927867,-0.394301742,-0.210141867,0.31925,0.377615452
4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.921421051,0.593600273,0.437227815,0.184713036,-0.620787561,-0.147838444,0.31925,0.381563634
4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,-0.633139133,-0.132938728,0.31925,0.478876591
5.062448502,9.119423866,0.814449012,66.90000153,0.807643652,-0.149108693,0.676826358,0.581487715,0.454840273,0.670827627,,,0.31925,0.406403482
7.288550377,10.68160057,0.92379874,72.59999847,0.922932267,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,0.34275,0.451516807
7.309060574,10.6901989,0.95186156,72.69999695,0.921871006,0.323258132,0.356554389,0.790050209,0.209636971,0.478556842,1.120239973,1.765201688,0.34275,0.416127056
7.250080109,10.7030983,0.942334235,73,0.922315717,0.229792744,0.398545116,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,0.34275,0.520914137
7.25703764,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,0.780078888,0.225360975,0.45340696,1.140083551,1.735671997,0.34275,0.428340912
7.17699337,10.7210207,0.940137267,73.59999847,0.916028142,0.137795404,0.404647499,0.759018838,0.187456369,0.468836874,,,0.34275,0.429814219
6.949999809,10.69920254,0.898920476,71.95999908,0.885026872,0.115640186,0.566931307,0.779692769,0.17014955,0.407695413,1.331010818,1.621878743,0.302692308,0.344870776
7.07644701,10.69885254,0.928110301,72.09999847,0.900305152,0.09687189,0.55747962,0.798262954,0.164469033,0.454789877,1.263259649,1.564293861,0.302692308,0.319265366
7.048071861,10.70244312,0.926318586,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.197423846,0.432638228,1.12349689,1.579037547,0.302692308,0.292294294
7.293727875,10.72407532,0.906217813,72.69999695,0.890030563,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.559312701,0.302692308,0.322941631
7.396001816,10.74189281,0.911668122,73,0.904111981,0.051552333,0.52306056,0.75235039,0.226058796,0.488678724,,,0.302692308,0.299504399
5.25153017,9.724067688,0.799433351,64.36000061,0.732772946,-0.228511631,0.65384531,0.597627223,0.219982117,0.778209925,-1.019543648,-0.582985878,0.211,0.254078448
5.146774769,9.723095894,0.785702765,64.59999847,0.764289498,-0.218101621,0.615552545,0.60656935,0.206114277,0.788487196,-1.140934467,-0.528914392,0.211,0.287744969
5.303894997,9.680426598,0.777271032,64.90000153,0.712573171,-0.22437793,0.606770813,0.597593486,0.191117197,0.734052122,-1.183456182,-0.449871927,0.211,0.288716018
5.152279377,9.670762062,0.787039399,65.19999695,0.731030464,-0.245215878,0.652539015,0.592359245,0.19831866,0.766583443,-1.162632823,-0.461928248,0.211,0.313743263
5.167995453,9.678013802,0.781229913,65.5,0.772449255,-0.251795292,0.561206281,0.592575371,0.191391662,0.834371924,,,0.211,0.260409832
6.165133953,10.688241,,67.41999817,,,,,,,-1.109268665,0.491515696,,0.463821948
6.00737524,10.69027233,0.852550745,67.69999695,0.84952116,0.10379605,,0.715542972,0.302972108,,-1.193268418,0.485886216,,0.48130253
6.169673443,10.68379784,0.862700105,68.09999847,0.888691068,0.080128744,,0.787187219,0.283466339,,-1.082750559,0.342247546,,0.482455522
6.227320671,10.67569351,0.875747144,68.5,0.905858517,0.128193483,,0.813570559,0.289759517,,-1.167433977,0.226644456,,0.446609318
4.635564804,7.997340679,0.577065051,62.38000107,0.735512853,-0.092973076,0.789374709,,0.230678365,0.719101429,-0.684746504,-0.84198302,0.32775,0.393071204
4.633473873,8.049608231,0.601468265,62.79999924,0.814796269,-0.063412555,0.720600903,0.634507656,0.225753754,0.760611534,-0.862021804,-0.795559049,0.32775,0.468054682
4.5561409,8.107524872,0.649116933,63.29999924,0.874700487,-0.083881758,0.687853634,0.559939086,0.235022455,0.845429063,-0.923605621,-0.750216246,0.32775,0.440177441
4.309771061,8.167346954,0.712552786,63.79999924,0.896217167,0.016269062,0.635014474,0.568827093,0.21350576,0.876646459,-0.93284297,-0.761903524,0.32775,0.53275013
4.499217033,8.22074604,0.705556035,64.30000305,0.90147084,-0.038008336,0.701421201,0.541344702,0.361237794,0.831693113,,,0.32775,0.367609113
5.812400818,9.795022964,0.880258858,64.62000275,0.647184551,-0.056135096,0.68150872,0.618929267,0.208535567,0.507746696,-0.631544709,-0.659978867,0.281294118,0.263802916
5.718907833,9.75438118,0.924072623,65.19999695,0.622753441,-0.099120751,0.668678164,0.583726883,0.184309959,0.520024061,-0.677491605,-0.650083005,0.281294118,0.330838978
5.177899361,9.727537155,0.926551104,65.5,0.658228815,-0.133187562,0.664055169,0.553870201,0.182106122,0.452669024,-0.598577619,-0.599957705,0.281294118,0.316431254
5.552915096,9.750800133,0.900255799,65.80000305,0.620979249,-0.129172564,0.654113412,0.540905774,0.232768074,0.447916299,-0.66446048,-0.539596856,0.281294118,0.283250213
5.233769894,9.778738976,0.904569268,66.09999847,0.643602371,-0.181864843,0.718455493,0.45033285,0.235728621,0.421278685,,,0.281294118,0.293443888
6.855329037,10.63007927,0.943549156,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.469111621,1.033804297,1.40902257,0.284307692,0.402563632
6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.80517751,0.239958704,0.459024221,0.987220764,1.440813541,0.284307692,0.403824568
6.948936462,10.64741421,0.928964078,71.59999847,0.865759015,-0.058440432,0.4966591,0.764590085,0.259653389,0.419177502,0.909132481,1.424215317,0.284307692,0.348629802
6.928347588,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,0.786367595,0.233597696,0.449731916,0.904255331,1.316667318,0.284307692,0.354373842
6.89217186,10.6724453,0.929815531,72,0.808386624,-0.127278343,0.630411804,0.74956274,0.250297338,0.44194454,,,0.284307692,0.299524575
5.955646515,8.987143517,0.756932497,62.22000122,0.873569071,0.004827182,0.782105386,0.754977345,0.281604409,0.384267181,0.284335703,-0.524305463,,0.446025997
3.347419262,7.601440907,0.506091297,52.81999969,0.775545776,-0.072841816,0.854826927,0.589645088,0.273385257,0.574232161,0.14672102,-0.549206376,0.432666667,0.514151752
3.624664307,7.594452858,0.434388518,53.09999847,0.733383596,-0.003976707,0.850098193,0.592222333,0.373396546,0.514306188,0.142651409,-0.570187569,0.432666667,0.533302605
4.007357597,7.605700016,0.492815852,53.5,0.779795229,-0.042874601,0.837715745,0.608236969,0.455767602,0.63744539,0.206786573,-0.554827392,0.432666667,0.464345634
4.853180885,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,0.614722311,0.457920343,0.615089297,0.211715877,-0.571933687,0.432666667,0.5770697
5.81982708,7.663907051,0.503544033,54.29999924,0.713264048,0.024661165,0.746510744,0.646655142,0.467871815,0.639219761,,,0.432666667,0.606243253
4.938578129,8.904687881,0.880341947,59.90000153,0.834222496,0.277091652,0.650338471,0.858864307,0.324097872,0.958492339,0.482542783,0.229389429,0.392666667,0.471103579
5.082128525,8.954587936,0.847574413,60.20000076,0.83010155,0.28663519,0.633955777,0.80964148,0.311589301,0.946393013,0.469944537,0.309430838,0.392666667,0.42251429
5.864798546,8.752238274,0.821344614,62.36000061,0.881058872,0.023150831,0.831854463,0.808609068,0.398219466,0.468561232,-0.179715931,-0.785820484,0.5216,0.413909733
5.834329128,8.784395218,0.828705788,62.70000076,0.88362509,-0.024297828,0.862373948,0.785768449,0.392902851,0.487208784,-0.136583105,-0.843797743,0.5216,0.364657104
5.769723415,8.811049461,0.795958757,63,0.881748736,-0.041593142,0.852592945,0.783008873,0.376412243,0.40174228,-0.142896414,-0.855461538,0.5216,0.430949569
5.65055275,8.837221146,0.778661788,63.29999924,0.883904934,-0.115274936,0.819261968,0.698195398,0.43394354,0.427632958,-0.16441147,-0.788586199,0.5216,0.40588659
5.915734291,8.860530853,0.827159464,63.59999847,0.863246858,-0.08756835,0.786044598,0.741972625,0.387468874,0.399588227,,,0.5216,0.450113028
5.248954296,9.260727882,0.787651718,66.86000061,0.411937386,0.231976315,0.976339638,0.531435847,0.262175202,0.095099099,-0.04507716,-0.258664042,0.3256,0.438962758
5.117177963,9.299491882,0.655723631,66.90000153,0.630698025,-0.054061137,0.959853649,0.533987403,0.28623414,0.194221586,-0.250270844,-0.354031891,0.3256,0.450905263
5.180865288,9.335877419,0.807705104,67.19999695,0.633453727,0.134780556,0.957311988,0.640764356,0.304080278,0.212188497,-0.265015751,-0.308552921,0.3256,0.398743331
5.089902401,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,0.597341657,0.270745516,0.126379713,-0.29460907,-0.339562118,0.3256,0.486203879
5.887401104,9.402726173,0.835889578,67.80000305,0.658846438,0.124626905,0.912857771,0.642939508,0.277365059,0.254097164,,,0.3256,0.385817498
4.031197071,9.674996376,0.859477818,56.02000046,0.791371226,-0.110951312,0.743073821,0.674190462,0.245051414,0.707628131,0.723632157,0.606363952,0.626,0.621809065
3.761964798,9.63931179,0.815656066,56.79999924,0.857168913,-0.121966846,0.860292971,0.746204019,0.261428148,0.81921792,0.739141107,0.595356345,0.626,0.650932074
3.498936653,9.663145065,0.768302798,57.5,0.851694882,-0.258511871,0.729171813,0.68566674,0.251836598,0.803130805,0.692296803,0.626120031,0.626,0.658420265
